title,genre,overview,keywords
Avatar,Action Adventure Sci-Fi,A marine on an alien planet becomes part of a conflict between humans and native people,alien planet space marine adventure
Titanic,Drama Romance,A young couple from different social classes fall in love aboard a large ship,ship romance tragedy love
The Dark Knight,Action Crime Drama,Batman faces a dangerous criminal known as the Joker in Gotham City,batman joker crime superhero
Inception,Action Sci-Fi Thriller,A skilled thief enters dreams to steal and plant ideas,dream thief subconscious mind
Interstellar,Adventure Drama Sci-Fi,A team travels through space to find a new home for humanity,space time planet survival
The Matrix,Action Sci-Fi,A hacker discovers that reality is controlled by machines,simulation hacker artificial intelligence
Iron Man,Action Adventure Sci-Fi,A wealthy engineer builds a powerful armored suit to fight evil,superhero armor technology marvel
The Avengers,Action Adventure Sci-Fi,Superheroes team up to protect the world from an alien invasion,superhero team alien invasion
Joker,Crime Drama Thriller,A troubled man in Gotham slowly becomes a dangerous criminal,crime mental struggle villain
Black Panther,Action Adventure Sci-Fi,A king protects his advanced nation and fights for his people,king superhero wakanda technology
Frozen,Animation Adventure Comedy,Two sisters face magical challenges in a frozen kingdom,animation magic sister snow
Toy Story,Animation Adventure Comedy,Toys come to life and go on adventures when humans are away,toys friendship adventure animation
Finding Nemo,Animation Adventure Comedy,A fish searches the ocean to find his missing son,ocean fish family adventure
The Lion King,Animation Adventure Drama,A young lion learns responsibility and returns to claim his kingdom,lion kingdom family adventure
Spider-Man,Action Adventure Sci-Fi,A young student gains spider-like powers and becomes a hero,superhero spider powers city
Doctor Strange,Action Adventure Fantasy,A surgeon learns magical arts and protects the world from mystical threats,magic superhero doctor multiverse
Guardians of the Galaxy,Action Adventure Comedy,A group of misfits protects the galaxy from powerful enemies,space comedy superhero galaxy
The Godfather,Crime Drama,A powerful crime family struggles with loyalty power and leadership,mafia family crime power
Forrest Gump,Drama Romance,A kind man experiences major events while following his heart,life journey love history
Jurassic Park,Adventure Sci-Fi Thriller,Dinosaurs are brought back to life in a theme park with dangerous results,dinosaur park science danger
